death_indicators,name,ticker
"Inactive Development,Inactive Twitter,Low Volume,Not indexed,Not Listed on exchanges,Website Down",Allagescoin,N/A
"Inactive Development,Inactive Twitter,Low Volume,Not indexed,Not Listed on exchanges,Website Down",Allahcoin,N/A
"Inactive Development,Inactive Twitter,Low Volume,Not indexed,Not Listed on exchanges,Website Down",Allcoinguru,CGUR
"Inactive Development,Inactive Twitter,Low Volume,Not indexed,Not Listed on exchanges",Alloy,XAO
"Inactive Development,Low Volume,Not Listed on exchanges",Allsafe,ASAFE2
"Inactive Development,Inactive Twitter,Low Volume,Not indexed,Not Listed on exchanges,Website Down",Alpencoin,ANN
"Inactive Development,Inactive Twitter,Low Volume,Not indexed,Not Listed on exchanges,Website Down",Alpha Technology,AFX
"Inactive Development,Inactive Twitter,Low Volume,Not indexed,Not Listed on exchanges,Website Down",Alphacoin,ALF
"Inactive Development,Inactive Twitter,Low Volume,Not indexed,Not Listed on exchanges,Website Down",Alphaomegacoin,AOC
"Inactive Development,Inactive Twitter,Low Volume,Not indexed,Not Listed on exchanges,Website Down",Alphatech,AFX
"Inactive Development,Inactive Twitter,Low Volume,Not Listed on exchanges",Altbet,ABET
"Inactive Development,Inactive Twitter,Low Volume,Not indexed,Not Listed on exchanges,Website Down",Altrocoin,N/A
"Inactive Development,Inactive Twitter,Low Volume,Not indexed,Not Listed on exchanges,Website Down",Alttex,
"Inactive Twitter,Low Volume,Not indexed,Not Listed on exchanges,Website Down",Ambit Mining,AMBT
"Inactive Development,Inactive Twitter,Low Volume,Not indexed,Not Listed on exchanges,Website Down",Americancoin,AMC
"Inactive Development,Inactive Twitter,Low Volume,Not indexed,Not Listed on exchanges,Website Down",Americoin,N/A
"Inactive Development,Inactive Twitter,Low Volume,Not Listed on exchanges,Website Down",Amero,AMX
"Inactive Development,Inactive Twitter,Low Volume,Not indexed,Not Listed on exchanges,Website Down",Amherstcollege,AMH
"Inactive Development,Inactive Twitter,Low Volume,Not Listed on exchanges",Amigacoin,AGA
"Inactive Development,Inactive Twitter,Low Volume,Not indexed,Not Listed on exchanges,Website Down",Aminacoin,N/A
"Inactive Development,Inactive Twitter,Low Volume,Not indexed,Not Listed on exchanges,Website Down",Amkoin,AMK
"Inactive Development,Inactive Twitter,Low Volume,Not indexed,Not Listed on exchanges,Website Down",Amlove coin,AMLO
"Inactive Development,Inactive Twitter,Low Volume,Not indexed,Not Listed on exchanges,Website Down",Anatomia,ANT
"Inactive Development,Inactive Twitter,Low Volume,Not Listed on exchanges",Animecoin,ANI
"Inactive Development,Inactive Twitter,Low Volume,Not indexed,Not Listed on exchanges,Website Down",Anthonylogozzo,ANT
"Inactive Development,Low Volume,Not Listed on exchanges",Apecoin,APE
"Inactive Development,Inactive Twitter,Low Volume,Not Listed on exchanges,Website Down",Apex,APX
"Inactive Development,Inactive Twitter,Low Volume,Not indexed,Not Listed on exchanges,Website Down",Aphroditecoin,APH
"Inactive Development,Inactive Twitter,Low Volume,Not indexed,Not Listed on exchanges,Website Down",Apollo18,A18
"Inactive Development,Inactive Twitter,Low Volume,Not Listed on exchanges,Website Down",Apollon,XAP
"Inactive Development,Inactive Twitter,Low Volume,Not indexed,Not Listed on exchanges,Website Down",Appcoin,APP
"Inactive Development,Inactive Twitter,Low Volume,Not indexed,Not Listed on exchanges,Website Down",Appian,APP
"Inactive Development,Inactive Twitter,Low Volume,Not indexed,Not Listed on exchanges,Website Down",Applebyte,ABY
"Inactive Development,Inactive Twitter,Low Volume,Not Listed on exchanges,Website Down",Aquachain,AQUA
"Inactive Development,Inactive Twitter,Low Volume,Not indexed,Not Listed on exchanges,Website Down",Aquagon,AQUAGON
"Inactive Development,Inactive Twitter,Low Volume,Not Listed on exchanges,Website Down",Araw,ARAW
"Inactive Development,Inactive Twitter,Low Volume,Not Listed on exchanges,Website Down",Arbitrage,ARB
"Inactive Development,Inactive Twitter,Low Volume,Not indexed,Not Listed on exchanges,Website Down",Arbitraging,ARB
"Inactive Development,Inactive Twitter,Low Volume,Not Listed on exchanges,Website Down",Archcoin,ARCH
"Inactive Development,Inactive Twitter,Low Volume,Not indexed,Not Listed on exchanges,Website Down",Areszcoin,ARC
"Inactive Development,Inactive Twitter,Low Volume,Not indexed,Not Listed on exchanges,Website Down",Argus,ARGUS
"Inactive Development,Inactive Twitter,Low Volume,Not Listed on exchanges",Arion,ARION
"Inactive Development,Inactive Twitter,Low Volume,Not indexed,Not Listed on exchanges,Website Down",Arkhash,ARK
"Inactive Development,Inactive Twitter,Low Volume,Not indexed,Not Listed on exchanges",Armoredcoin,N/A
"Inactive Development,Inactive Twitter,Low Volume,Not Listed on exchanges,Website Down",Arrow,ARW
"Inactive Development,Inactive Twitter,Low Volume,Not Listed on exchanges",Artax,XAX
"Inactive Development,Inactive Twitter,Low Volume,Not indexed,Not Listed on exchanges,Website Down",Asdasd,ADSAD
"Inactive Development,Inactive Twitter,Low Volume,Not indexed,Not Listed on exchanges,Website Down",Aspect,ASP
"Inactive Development,Inactive Twitter,Low Volume,Not indexed,Not Listed on exchanges,Website Down",Assetereum,ASET
"Inactive Development,Inactive Twitter,Low Volume,Not indexed,Not Listed on exchanges,Website Down",Asspennies,ASS
"Inactive Development,Inactive Twitter,Low Volume,Not indexed,Not Listed on exchanges,Website Down",Asstoken,ASS
"Inactive Twitter,Low Volume,Not indexed,Website Down",Aston,
"Inactive Development,Inactive Twitter,Low Volume,Not indexed,Not Listed on exchanges,Website Down",Astrocoin,ASR
"Inactive Twitter,Low Volume,Not Listed on exchanges",Asura Coin,ASA
"Inactive Development,Inactive Twitter,Website Down",Atbcoin,ATBCOIN
"Inactive Development,Inactive Twitter,Low Volume,Not Listed on exchanges,Website Down",Atc Arbitracoin,ARC
"Inactive Development,Inactive Twitter,Low Volume,Not Listed on exchanges",Atc Coin,ATC
"Inactive Development,Inactive Twitter,Low Volume,Not indexed,Not Listed on exchanges",Atidium,
"Inactive Development,Inactive Twitter,Low Volume,Not Listed on exchanges,Website Down",Atlas,ATLS
"Inactive Development,Inactive Twitter,Low Volume,Not Listed on exchanges,Website Down",Atm Cash Gold,ATMCASH
"Inactive Development,Inactive Twitter,Low Volume,Not Listed on exchanges,Website Down",Atmchain,ATM
"Inactive Development,Inactive Twitter,Low Volume,Not Listed on exchanges,Website Down",Atomic Coin,ATOM
"Inactive Development,Inactive Twitter,Low Volume,Not indexed,Not Listed on exchanges,Website Down",Atronocom,ATROM
"Inactive Development,Inactive Twitter,Low Volume,Not Listed on exchanges",Auroracoin,AUR
"Inactive Development,Inactive Twitter,Low Volume,Not Listed on exchanges",Aurumcoin,AU
"Inactive Development,Inactive Twitter,Low Volume,Not indexed,Not Listed on exchanges,Website Down",Australiacoin,AUS
"Inactive Development,Inactive Twitter,Low Volume,Not Listed on exchanges,Website Down",Autorship,
"Inactive Development,Inactive Twitter,Low Volume,Not indexed,Not Listed on exchanges,Website Down",Avatarcoin,AVATAR
"Inactive Development,Inactive Twitter,Low Volume,Not indexed,Not Listed on exchanges,Website Down",Avesta,AVE
"Inactive Development,Inactive Twitter,Low Volume,Not indexed,Not Listed on exchanges,Website Down",Avinoc,
"Inactive Development,Inactive Twitter,Low Volume,Not indexed,Not Listed on exchanges,Website Down",Aycoin,AYC
"Inactive Development,Inactive Twitter,Low Volume,Not indexed,Not Listed on exchanges,Website Down",Azal Shop Coin,ASC
"Inactive Development,Inactive Twitter,Low Volume,Not Listed on exchanges",B3Coin,KB3
"Inactive Development,Inactive Twitter,Low Volume,Not indexed,Not Listed on exchanges,Website Down",Babycoin,BBC
"Inactive Development,Inactive Twitter,Low Volume,Not indexed,Not Listed on exchanges,Website Down",Baconbitscoin,YUM
"Inactive Development,Inactive Twitter,Low Volume,Not Listed on exchanges",Badcoin,BAD
"Inactive Development,Inactive Twitter,Low Volume,Not indexed,Not Listed on exchanges,Website Down",Badgercoin,BDG
"Inactive Development,Inactive Twitter,Low Volume,Not Listed on exchanges,Website Down",Balkancoin,BKC
"Inactive Development,Inactive Twitter,Low Volume,Not indexed,Not Listed on exchanges,Website Down",Bank4You,BEEFY
"Inactive Development,Inactive Twitter,Low Volume,Not Listed on exchanges,Website Down",Bankex,BKX
"Inactive Development,Inactive Twitter,Low Volume,Not Listed on exchanges,Website Down",Banxshares,BANX
"Inactive Development,Inactive Twitter,Low Volume,Not indexed,Not Listed on exchanges,Website Down",Barbeque Coin,BQC
"Inactive Development,Inactive Twitter,Low Volume,Not indexed,Not Listed on exchanges,Website Down",Basecoin,N/A
"Inactive Development,Inactive Twitter,Low Volume,Not Listed on exchanges,Website Down",Batcoin,BAT
"Inactive Development,Inactive Twitter,Low Volume,Not indexed,Not Listed on exchanges,Website Down",Bbx Coin,BBX
"Inactive Development,Inactive Twitter,Low Volume,Not indexed,Not Listed on exchanges,Website Down",Bchconnect,BCHC
"Inactive Development,Inactive Twitter,Low Volume,Not indexed,Not Listed on exchanges,Website Down",Bchsv,BCHSV
"Inactive Development,Inactive Twitter,Low Volume,Not indexed,Not Listed on exchanges,Website Down",Beaocoin,BEC
"Inactive Development,Inactive Twitter,Low Volume,Not indexed,Not Listed on exchanges,Website Down",Bears,BRS
"Inactive Development,Inactive Twitter,Low Volume,Not indexed,Not Listed on exchanges,Website Down",Beatlecoin,BEA
"Inactive Development,Inactive Twitter,Low Volume,Not Listed on exchanges,Website Down",Beavercoin,BVC
"Inactive Development,Inactive Twitter,Low Volume,Not Listed on exchanges,Website Down",Beecoin,BEE
"Inactive Development,Inactive Twitter,Low Volume,Not indexed,Not Listed on exchanges,Website Down",Beercoin,BEER
"Inactive Development,Inactive Twitter,Low Volume,Not indexed,Not Listed on exchanges,Website Down",Beez Crypto,BEEZ
"Inactive Development,Inactive Twitter,Low Volume,Not Listed on exchanges,Website Down",Befund,BFDT
"Inactive Development,Inactive Twitter,Low Volume,Not indexed,Not Listed on exchanges,Website Down",Belance,BEL
"Inactive Development,Inactive Twitter,Low Volume,Not indexed,Not Listed on exchanges,Website Down",Belicoin,BELI
"Inactive Development,Inactive Twitter,Low Volume,Not indexed,Not Listed on exchanges,Website Down",Bellacoin,BELA
"Inactive Development,Inactive Twitter,Low Volume,Not indexed,Not Listed on exchanges,Website Down",Bells,BEL
"Inactive Development,Inactive Twitter,Low Volume,Not indexed,Not Listed on exchanges,Website Down",Benebit,BENEBIT
"Inactive Development,Inactive Twitter,Low Volume,Not indexed,Not Listed on exchanges,Website Down",Benicoin,BENI
"Inactive Development,Inactive Twitter,Low Volume,Not indexed,Not Listed on exchanges,Website Down",Beproto,ARSE
"Inactive Development,Inactive Twitter,Low Volume,Not indexed,Not Listed on exchanges,Website Down",Bestcoin,BSC
"Inactive Development,Inactive Twitter,Low Volume,Not indexed,Not Listed on exchanges,Website Down",Betacoin,
"Inactive Development,Inactive Twitter,Low Volume,Not indexed,Not Listed on exchanges,Website Down",Beth,BTH
"Inactive Development,Inactive Twitter,Low Volume,Not indexed,Not Listed on exchanges,Website Down",Bethereum,BTHR
"Inactive Development,Inactive Twitter,Low Volume,Not Listed on exchanges,Website Down",Betrium,BTRM
"Inactive Development,Inactive Twitter,Low Volume,Not Listed on exchanges,Website Down",Beyond The Scene Coin,BTSC
"Inactive Development,Inactive Twitter,Low Volume,Not indexed,Not Listed on exchanges,Website Down",Bidgram,BSM
"Inactive Development,Inactive Twitter,Low Volume,Not indexed,Not Listed on exchanges,Website Down",Big Bullion,BIG
"Inactive Development,Inactive Twitter,Low Volume,Not indexed,Not Listed on exchanges",Bigboobscoin,BBC
"Inactive Development,Inactive Twitter,Low Volume,Not indexed,Not Listed on exchanges,Website Down",Bigcoin,BGI
"Inactive Development,Inactive Twitter,Low Volume,Not indexed,Not Listed on exchanges",Billaume,BLL
"Inactive Development,Inactive Twitter,Low Volume,Not Listed on exchanges",Billionaire Token,XBL
"Inactive Development,Inactive Twitter,Low Volume,Not indexed,Not Listed on exchanges,Website Down",Binarycoin,BRC
"Inactive Development,Inactive Twitter,Low Volume,Not indexed,Not Listed on exchanges,Website Down",Binarycoin,BIC
"Inactive Development,Inactive Twitter,Low Volume,Not indexed,Not Listed on exchanges,Website Down",Bineuro,BNR
"Inactive Development,Inactive Twitter,Low Volume,Not Listed on exchanges,Website Down",Bipcoin,BIP
"Inactive Development,Inactive Twitter,Low Volume,Not indexed,Not Listed on exchanges,Website Down",Birdcoin,BRD
"Inactive Development,Low Volume,Not Listed on exchanges",Bit Degree,BDG
"Inactive Development,Inactive Twitter,Low Volume,Not indexed,Not Listed on exchanges",Bit Storage Network,BSN
"Inactive Development,Inactive Twitter,Low Volume,Not indexed,Not Listed on exchanges,Website Down",Bitai,BITAI
"Inactive Development,Inactive Twitter,Low Volume,Not Listed on exchanges,Website Down",Bitair,BTCA
"Inactive Development,Low Volume,Not Listed on exchanges",Bitalgo,ALG
"Inactive Development,Inactive Twitter,Low Volume,Not Listed on exchanges,Website Down",Bitbase Coin,BTBC
"Inactive Development,Inactive Twitter,Low Volume,Not Listed on exchanges,Website Down",Bitboost,BBT
"Inactive Development,Inactive Twitter,Low Volume,Not indexed,Not Listed on exchanges,Website Down",Bitcar,
"Inactive Development,Inactive Twitter,Low Volume,Not Listed on exchanges,Website Down",Bitcedi,BXC
"Inactive Development,Inactive Twitter,Low Volume,Not Listed on exchanges,Website Down",Bitcheke,BCK
"Inactive Development,Inactive Twitter,Low Volume,Not Listed on exchanges,Website Down",Bitcoal,COAL
"Inactive Development,Inactive Twitter,Low Volume,Not Listed on exchanges",Bitcoen,BEN
"Inactive Development,Inactive Twitter,Low Volume,Not indexed,Not Listed on exchanges",Bitcogne,BGN
"Inactive Development,Inactive Twitter,Low Volume,Not indexed,Not Listed on exchanges,Website Down",Bitcoin Byte,BTB
"Inactive Development,Inactive Twitter,Low Volume,Not indexed,Not Listed on exchanges,Website Down",Bitcoin Game,BGAME
"Inactive Development,Inactive Twitter,Low Volume,Not indexed,Not Listed on exchanges",Bitcoin Incognito,
"Inactive Development,Inactive Twitter,Low Volume,Not Listed on exchanges,Website Down",Bitcoin Interest,BCI
"Inactive Development,Inactive Twitter,Low Volume,Not Listed on exchanges,Website Down",Bitcoin Platinum,BTP
"Inactive Development,Inactive Twitter,Low Volume,Not Listed on exchanges",Bitcoin Red,BTCRED
"Inactive Development,Inactive Twitter,Low Volume,Not indexed,Not Listed on exchanges,Website Down",Bitcoin Token,BTK
"Inactive Development,Inactive Twitter,Low Volume,Not indexed,Not Listed on exchanges",Bitcoin World,BTW
"Inactive Development,Inactive Twitter,Low Volume,Not indexed,Not Listed on exchanges,Website Down",Bitcoin2.0,N/A
"Inactive Development,Inactive Twitter,Low Volume,Not Listed on exchanges,Website Down",Bitcoincrown,BTCC
"Inactive Development,Inactive Twitter,Low Volume,Not Listed on exchanges,Website Down",Bitcoindark,BTCD
"Inactive Development,Inactive Twitter,Low Volume,Not indexed,Not Listed on exchanges,Website Down",Bitcoinnode,BTN
"Inactive Development,Inactive Twitter,Low Volume,Not Listed on exchanges",Bitcoinus,BITS
"Inactive Development,Inactive Twitter,Low Volume,Not indexed,Not Listed on exchanges,Website Down",Bitconnect,BCC
"Inactive Development,Inactive Twitter,Low Volume,Not Listed on exchanges,Website Down",Bitconnectx,BCCX
"Inactive Development,Inactive Twitter,Low Volume,Not Listed on exchanges",Bitcorn,CORN
"Inactive Development,Inactive Twitter,Low Volume,Not indexed,Not Listed on exchanges,Website Down",Bitcredits,N/A
"Inactive Development,Inactive Twitter,Low Volume,Not indexed,Not Listed on exchanges",Bitdeal,BDL
"Inactive Development,Inactive Twitter,Low Volume,Not Listed on exchanges,Website Down",Bitdepositary,BDT
"Inactive Development,Inactive Twitter,Low Volume,Not indexed,Not Listed on exchanges,Website Down",Bitecoin,BITE
"Inactive Development,Inactive Twitter,Low Volume,Not indexed,Not Listed on exchanges,Website Down",Bitexpro,BTX
"Inactive Development,Inactive Twitter,Low Volume,Not indexed,Not Listed on exchanges,Website Down",Bitfinite Coin,BFC
"Inactive Development,Inactive Twitter,Low Volume,Not Listed on exchanges,Website Down",Bitgold,BITGOLD
"Inactive Development,Inactive Twitter,Low Volume,Not indexed,Not Listed on exchanges,Website Down",Bithire,HIRE
"Inactive Development,Inactive Twitter,Low Volume,Not indexed,Not Listed on exchanges,Website Down",Bitinium,BTN
"Inactive Development,Inactive Twitter,Low Volume,Not Listed on exchanges",Bitland,
"Inactive Development,Inactive Twitter,Low Volume,Not Listed on exchanges,Website Down",Bitleu,BTL
"Inactive Development,Inactive Twitter,Low Volume,Not indexed,Not Listed on exchanges,Website Down",Bitmiles,BTMI
"Inactive Development,Inactive Twitter,Low Volume,Not indexed,Not Listed on exchanges,Website Down",Bitmillion,BTM
"Inactive Development,Inactive Twitter,Low Volume,Not Listed on exchanges",BitMoney,BIT
"Inactive Development,Inactive Twitter,Low Volume,Not indexed,Not Listed on exchanges,Website Down",Bitnowcoin,BNC
"Inactive Development,Inactive Twitter,Low Volume,Not indexed,Not Listed on exchanges,Website Down",Bitpaction,BPS
"Inactive Development,Inactive Twitter,Low Volume,Not indexed,Not Listed on exchanges,Website Down",Bitpeso,BTP
"Inactive Development,Inactive Twitter,Low Volume,Not indexed,Not Listed on exchanges,Website Down",Bitpug,N/A
"Inactive Development,Inactive Twitter,Low Volume,Not indexed,Not Listed on exchanges",Bitpul,BITPUL
"Inactive Development,Inactive Twitter,Low Volume,Not indexed,Not Listed on exchanges,Website Down",Bitquark,BTQ
"Inactive Development,Inactive Twitter,Low Volume,Not indexed,Not Listed on exchanges,Website Down",Bitqy,BITQY
"Inactive Development,Inactive Twitter,Low Volume,Not indexed,Not Listed on exchanges,Website Down",Bitraam,BRM
"Inactive Development,Inactive Twitter,Low Volume,Not indexed,Not Listed on exchanges,Website Down",Bitreserve Coin,BRC
"Inactive Development,Inactive Twitter,Low Volume,Not Listed on exchanges",Bitrewards,XBR
"Inactive Development,Inactive Twitter,Low Volume,Not Listed on exchanges",Bitserial,BTE
"Inactive Development,Inactive Twitter,Low Volume,Not Listed on exchanges,Website Down",Bitstar,BITS
"Inactive Development,Inactive Twitter,Low Volume,Not Listed on exchanges,Website Down",Bitvote,BTV
"Inactive Development,Inactive Twitter,Low Volume,Not indexed,Not Listed on exchanges,Website Down",Bitway Network,BTWN
"Inactive Development,Inactive Twitter,Low Volume,Not Listed on exchanges",Bitzeny,ZNY
"Inactive Development,Inactive Twitter,Low Volume,Not indexed,Not Listed on exchanges,Website Down",Biyanzu,BYZ
"Inactive Development,Inactive Twitter,Low Volume,Not indexed,Not Listed on exchanges,Website Down",Bizcoin,BIZ
"Inactive Development,Inactive Twitter,Low Volume,Not Listed on exchanges,Website Down",Blakebitcoin,BBTC
"Inactive Development,Inactive Twitter,Low Volume,Not Listed on exchanges",Blakecoin,BLC
"Inactive Development,Inactive Twitter,Low Volume,Not Listed on exchanges",Blazecoin,BLZ
"Inactive Development,Inactive Twitter,Low Volume,Not indexed,Not Listed on exchanges,Website Down",Blitzcoin,BLTZ
"Inactive Development,Inactive Twitter,Low Volume,Not indexed,Not Listed on exchanges",Blobbycoin,N/A
"Inactive Development,Inactive Twitter,Low Volume,Not Listed on exchanges,Website Down",Bloc.Money,BLOC
"Inactive Development,Inactive Twitter,Low Volume,Not indexed,Not Listed on exchanges",BlocBuy,
"Inactive Development,Inactive Twitter,Low Volume,Not Listed on exchanges,Website Down",Block Panther,BPN
"Inactive Development,Inactive Twitter,Low Volume,Not indexed,Not Listed on exchanges,Website Down",Blockbroker,BKBK
"Inactive Development,Inactive Twitter,Low Volume,Not Listed on exchanges,Website Down",Blockcat,CAT
"Inactive Development,Inactive Twitter,Low Volume,Not indexed,Not Listed on exchanges,Website Down",Blockchain Development Company,BCDC
"Inactive Development,Inactive Twitter,Low Volume,Not Listed on exchanges,Website Down",Blockclout,CLOUT
"Inactive Development,Low Volume,Not Listed on exchanges",Blockmesh,BMH
"Inactive Development,Inactive Twitter,Low Volume,Not Listed on exchanges,Website Down",Blockshares,BKS
"Inactive Development,Inactive Twitter,Low Volume,Not indexed,Not Listed on exchanges,Website Down",Bluechip,BCH
"Inactive Development,Inactive Twitter,Low Volume,Not Listed on exchanges,Website Down",Blur,BLUR
,Boats And Bitches,BNB
"Inactive Development,Inactive Twitter,Low Volume,Not Listed on exchanges,Website Down",Bold,BOLD
"Inactive Development,Inactive Twitter,Low Volume,Not Listed on exchanges,Website Down",Boleno,BLN
"Inactive Development,Low Volume,Not Listed on exchanges",Bomb,BOMB
"Inactive Development,Inactive Twitter,Low Volume,Not indexed,Not Listed on exchanges,Website Down",Bones,BONES
"Inactive Development,Inactive Twitter,Low Volume,Not indexed,Not Listed on exchanges,Website Down",Bonuscoins,BNS
"Inactive Development,Inactive Twitter,Low Volume,Not indexed,Not Listed on exchanges,Website Down",Boomcoin,BMC
"Inactive Development,Inactive Twitter,Low Volume,Not Listed on exchanges,Website Down",Boon Tech,BOON
"Inactive Development,Inactive Twitter,Low Volume,Not indexed,Not Listed on exchanges,Website Down",Boringcoin,N/A
"Inactive Development,Inactive Twitter,Low Volume,Not Listed on exchanges",Bosscoin,BOS
"Inactive Development,Inactive Twitter,Low Volume,Not Listed on exchanges,Website Down",Bottlecaps,CAP
"Inactive Development,Inactive Twitter,Low Volume,Not Listed on exchanges,Website Down",Boule,BOU
"Inactive Development,Inactive Twitter,Low Volume,Not indexed,Not Listed on exchanges,Website Down",Bountycoin,BOC
"Inactive Development,Inactive Twitter,Low Volume,Not indexed,Not Listed on exchanges,Website Down",Boxxycoin,BOXX
"Inactive Development,Inactive Twitter,Low Volume,Not indexed,Not Listed on exchanges,Website Down",Boycoin,BOY
"Inactive Development,Inactive Twitter,Low Volume,Not indexed,Not Listed on exchanges,Website Down",Brasilcoin,BRAC
"Inactive Development,Inactive Twitter,Low Volume,Not Listed on exchanges",Brig,BRIG
"Inactive Development,Inactive Twitter,Low Volume,Not Listed on exchanges,Website Down",Britcoin,BRIT
"Inactive Development,Inactive Twitter,Low Volume,Not indexed,Not Listed on exchanges,Website Down",Brokebackmountaincoin,N/A
"Inactive Development,Inactive Twitter,Low Volume,Not indexed,Not Listed on exchanges,Website Down",Brynercoin,BRY
"Inactive Development,Inactive Twitter,Low Volume,Not indexed,Not Listed on exchanges,Website Down",Btctalkcoin,BCC
"Inactive Development,Inactive Twitter,Low Volume,Not indexed,Not Listed on exchanges,Website Down",Btlux Coin,BTLUX
"Inactive Development,Inactive Twitter,Low Volume,Not Listed on exchanges",Bubbletone,UMT
"Inactive Development,Inactive Twitter,Low Volume,Not Listed on exchanges,Website Down",Budbo,BUBO
"Inactive Development,Inactive Twitter,Low Volume,Not indexed,Not Listed on exchanges,Website Down",Bullandbear,BB
"Inactive Development,Inactive Twitter,Low Volume,Not indexed,Not Listed on exchanges",Bumbacoin,CLOT
"Inactive Development,Inactive Twitter,Low Volume,Not indexed,Not Listed on exchanges,Website Down",Burbucoin,BUR
"Inactive Development,Inactive Twitter,Low Volume,Not indexed,Not Listed on exchanges,Website Down",Burstcoin,BURST
"Inactive Development,Inactive Twitter,Low Volume,Not Listed on exchanges,Website Down",Butt Coin,BUTT
"Inactive Development,Inactive Twitter,Low Volume,Not indexed,Not Listed on exchanges,Website Down",Butterflycoin,BUR
"Inactive Development,Inactive Twitter,Low Volume,Not Listed on exchanges",Bux Coin,BUX
"Inactive Development,Inactive Twitter,Low Volume,Not indexed,Not Listed on exchanges,Website Down",Byteball,BYTEBALL
"Inactive Development,Inactive Twitter,Low Volume,Not Listed on exchanges",Bytether,BTH
"Inactive Development,Inactive Twitter,Low Volume,Not Listed on exchanges,Website Down",Bytn,BYTN
"Inactive Development,Inactive Twitter,Low Volume,Not Listed on exchanges",Cagecoin,CAGE
"Inactive Development,Inactive Twitter,Low Volume,Not Listed on exchanges",Caixapay,CXP
